"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"转账金额为 0.00 元，属于无效金额。 验证后端在参数校验阶段识别并拒绝， 返回 PARAM_INVALID 或对应业务错误码。
","5","TC_Transfer_057: 边界值-转账金额0元无效输入 [预期 ]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证跨行转账时手续费计算与扣除的正确性。 转账金额 100 元（跨行小额档位）， 付款方承担手续费（feeBearer=01），手续费按规则矩阵计算。 校验点：响应中 feeAmount 字段为非负数， actualAmount 与请求金额一致。
","11","TC_TRANSFER_POS_FEE_002: 正向转账-跨行手续费扣除验证 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易附言 remitInfo 不得包含虚拟货币等敏感词。 设置 remitInfo=""虚拟币USDT购买""，验证返回 REMIT_INFO_BLOCKED（10012），提示修改附言后重试。
","8","TC_Transfer_050: 合规-附言命中敏感词拦截 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"微信小程序（WC）渠道单笔限额 10,000 元。 使用张三账户发起 12,000 元转账，超过 WC 单笔限额， 触发 SINGLE_LIMIT_EXCEEDED 错误（10003）。
","9","TC_Transfer_019: 渠道限额-微信小程序单笔限额超限 [预期 10003]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"微信小程序（WC）普通单笔限额 10,000 元， 实时转账（bizType=1002）降为 50% 即 5,000 元。 使用张三账户在 WC 渠道发起 8,000 元实时转账， 超过 WC 实时转账单笔限额（5,000 元）， 触发 SINGLE_LIMIT_EXCEEDED 错误（10003）。
","11","TC_Transfer_022: 渠道限额-微信小程序+实时转账叠加限额 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"同一个 nonce 全局唯一，已用 nonce 不可重复使用。 注：本用例需先执行一次正常转账获取成功响应， 然后在第二次请求中复用相同的 nonce 值， 验证后端返回 REPLAY_ATTACK（10008）。 因 YAML 单请求模式限制，需配合 Python 两步编排实现。
","9","TC_Transfer_037: 防重放-重复nonce触发重放攻击检测 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"AML 规则：单笔 ≥ 50,000 元且与历史交易模式显著偏离。 使用张三账户（历史交易模式为小额转账）发起 80,000 元转账， 且 GPS 坐标设置为异地，验证触发 AML_SUSPICIOUS（10005）。
","8","TC_Transfer_048: AML-单笔大额触发反洗钱可疑交易 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"观察名单账户：频繁小额转账（月≥50笔、单笔≤200元）且投诉率>3%， 30 日内单日收款限额降至 5,000 元。 使用张三向观察名单账户（acct_no=6228482222222222）转账 6,000 元， 验证超出收款限额后被拦截。
","8","TC_Transfer_055: 反欺诈-收款账户在观察名单限额降级 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"私银客户（star_level=7）跨行转账手续费全免。 使用私银客户赵（acct_no=6222029999999999，star_level=7） 发起 100,000 元跨行转账。验证 response.body.feeAmount=0.00。
","7","TC_Transfer_046: 手续费-私银客户跨行手续费全免 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证大额转账余额不足导致交易回滚场景：使用赵六（余额仅 100 元） 作为付款方，尝试向张三转账 999,999 元。 因付款方余额严重不足，触发 BALANCE_INSUFFICIENT 错误（10001）， 交易状态 FAILED，retryFlag=false 不允许重试， 付款方余额不应发生扣减（交易回滚）。
","8","TC_TRANSFER_NEG_REVERSAL_003: 异常转账-付款方余额不足导致交易回滚 [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证正常跨行转账业务流程：手机银行渠道，100元小额普通转账， 路由AUTO，手续费付款方承担。期望交易成功，收款方信息脱敏返回。
","38","TC_TRANSFER_POS_001: 正常转账-普通跨行转账 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"收款卡号 BIN 为 622202（工商银行），但 payeeBankCode 填写 农业银行代码（103100000026），验证后端卡 BIN 校验逻辑， 返回 PAYEE_INFO_MISMATCH（10010）。
","8","TC_Transfer_041: 收款校验-卡BIN归属银行与payeeBankCode不一致 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"收款账号命中公安电诈涉案名单。后端校验顺序为先账户状态、再黑名单， 因测试卡号 6228481111111111 未在测试环境黑名单库中维护， 后端先触发账户状态异常检查，返回 ACCOUNT_STATUS_ABNORMAL。 验证黑名单检查的前置校验链路正确。
","9","TC_TRANSFER_NEG_005: 异常转账-收款方在反诈黑名单中 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"付款账户处于 RESTRICTED（交易限制/反洗钱风险管控）状态。 陈十二（acct_no=6222021234567899）因可疑交易被限制， 发起任意金额转账均应被拦截。 触发 ACCOUNT_STATUS_ABNORMAL 错误（10004）。
","10","TC_Transfer_027: 账户状态-付款账户交易限制禁止转账 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"收款人姓名为必填字段，传入空字符串。 验证后端参数校验拦截。
","5","TC_Transfer_059: 边界值-收款人姓名为空字符串 [预期 ]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"payeeBankUnionCode 不在人民银行行名行号表中或状态非""正常""。 使用无效行号 ""000000000000""，验证后端返回 PAYEE_INFO_MISMATCH（10010）。
","9","TC_Transfer_042: 收款校验-支付系统行号UnionCode无效 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"系统 Decimal(18,2) 最大值为 999,999,999.99 元。 使用 EB 渠道发起 1,000,000,000.00 元转账， 验证参数校验拦截或限额校验拦截。
","20","TC_Transfer_058: 边界值-转账金额超过最大限额999999999.99 [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易附言 remitInfo 长度限制：最多 100 个字符。 使用 101 个字符的附言，验证返回 REMIT_INFO_BLOCKED（10012） 或在框架层返回 PARAM_INVALID（HTTP 400）。
","8","TC_Transfer_054: 合规-附言超长字符拦截 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"付款账户处于 CLOSED（已销户）状态。 王十一（acct_no=6222021234567898）已正式注销， 发起任意金额转账均应被拦截。 触发 ACCOUNT_STATUS_ABNORMAL 错误（10004）。
","9","TC_Transfer_026: 账户状态-付款账户已销户禁止转账 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"转账金额远大于付款账户可用余额，触发 BALANCE_INSUFFICIENT 错误。 验证余额校验在扣款前生效，返回当前实际余额，且 retryFlag 为 false。
","7","TC_TRANSFER_NEG_002: 异常转账-付款方余额不足 [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"AML 规则：GPS 坐标与常用地（北京，约 116.4, 39.9）偏差超过 500 公里且当日首次大额交易。设置 GPS 为广州（113.26, 23.13）， 两地距离约 1,900 公里，发起 60,000 元转账， 验证触发 AML_SUSPICIOUS（10005）。
","7","TC_Transfer_049: AML-GPS坐标与常用地偏差超500公里拦截 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"手机银行（MB）单笔限额 50,000 元，使用 60,000 元转账。 后端校验顺序为先余额后限额，张三余额充足（1,000,000 元）， 余额校验通过后触发单笔限额校验，返回 SINGLE_LIMIT_EXCEEDED（10003）。
","7","TC_TRANSFER_NEG_003: 异常转账-手机银行单笔限额超限 [预期 10003]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证业务规则：收款账户为 FROZEN（司法冻结）时必须拒绝入账。 使用张三（正常）向周八（acct_no=6222021234567895，FROZEN） 转账 100 元，预期被拦截，付款方余额不扣减。
","9","TC_Transfer_029: 账户状态-收款冻结账户禁止入账 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证业务规则：收款账户为 SLEEP（睡眠户）时可继续入金。 使用张三（正常）向睡眠户测试用户（acct_no=6222029999998888） 转账 100 元，预期交易成功，收款方正常入账。
","8","TC_Transfer_028: 账户状态-收款睡眠户允许入账 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"请求报文数字签名无效。将 signature 字段设为篡改后的签名值， 验证后端验签失败后直接拦截，返回 AUTH_FAILED（10007）， 请求不进入后续业务逻辑。
","9","TC_Transfer_034: 安全认证-RSA数字签名校验失败 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"转账金额 ≥ 50,000 元时 faceToken 为必传字段。 使用 EB 渠道发起 50,000 元转账，不传 faceToken（置空）， 验证后端强制拦截并返回 AUTH_FAILED（10007）， 提示需完成人脸识别。
","9","TC_Transfer_032: 安全认证-大额转账缺faceToken强制拦截 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证当付款方账户处于""睡眠/销户""状态时，系统能正确拒绝交易。 使用测试卡号 6222029999998888 模拟睡眠户场景。 预期返回账户状态异常错误码 10004（ACCOUNT_STATUS_ABNORMAL）， 错误信息应明确提示账户状态异常（睡眠/销户）， 与用例5（司法冻结）共用同一错误码但触发原因不同。
","9","TC_TRANSFER_NEG_ACCT_007: 异常转账-付款方账户为睡眠户 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易密码密文校验失败。将 security.tradePwdEnc 设为无效 SM4 密文， 验证后端验密失败后返回 AUTH_FAILED（10007），允许用户重试。
","10","TC_Transfer_030: 安全认证-交易密码SM4验密失败 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"收款卡号为贷记卡（信用卡 BIN 532745 开头）， 根据规则10，贷记卡入金需额外风控审批。 使用贷记卡测试账户（acct_no=5327450001234567）作为收款方， 验证系统对贷记卡入金的拦截或标记行为。
","8","TC_Transfer_043: 收款校验-贷记卡入金触发额外风控 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"付款账户处于 FROZEN 状态（司法冻结），触发 ACCOUNT_STATUS_ABNORMAL 错误。 验证账户状态校验在余额扣减之前执行。
","7","TC_TRANSFER_NEG_004: 异常转账-付款账户司法冻结 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证转账金额为系统允许的最小值（0.01 元）时，业务流程正确处理。 边界值测试：确认系统在金额下界处不会出现舍入误差或误拒。 预期转账成功，返回 000000。
","16","TC_TRANSFER_POS_BOUNDARY_003: 边界值测试-最小转账金额0.01元 [转账 0.01元]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"AUTO 模式，金额 > 50,000 元且在工作日营业时间， 系统应自动选择 HVPS 大额通道。 使用 EB 渠道发起 100,000 元转账，routeMode=AUTO， 验证交易成功且 hostSeqNo 前缀为 HVPS。
","8","TC_Transfer_040: 清算路由-AUTO模式大额工作日自动选HVPS [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"短信验证码不匹配。设置 security.smsCode 为错误验证码， 验证后端返回 AUTH_FAILED（10007），提示验证码错误。
","9","TC_Transfer_031: 安全认证-短信验证码错误 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"网上银行（EB）单笔限额 500,000 元。 使用张三账户发起 600,000 元转账，超过 EB 单笔限额， 触发 SINGLE_LIMIT_EXCEEDED 错误（10003）。
","8","TC_Transfer_023: 渠道限额-网上银行单笔限额超限 [预期 10003]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"根据规则7安全策略联动：非可信设备 + 大额交易 → 强制人脸认证。 使用未知设备指纹发起 30,000 元转账且不传 faceToken， 验证后端触发增强认证拦截。
","9","TC_Transfer_035: 安全认证-非可信设备加大额交易强制人脸 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"手机银行（MB）普通转账（bizType=1001）单笔限额 50,000 元， 实时转账（bizType=1002）单笔限额降为 50%，即 25,000 元。 使用张三账户发起 30,000 元实时转账， 超过实时转账单笔限额，触发 SINGLE_LIMIT_EXCEEDED 错误（10003）。
","7","TC_Transfer_021: 业务类型-实时转账单笔限额降为50% [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易附言 remitInfo 不得包含 HTML 标签/JS 脚本。 设置 remitInfo=""货款<script>alert(1)</script>""， 验证返回 REMIT_INFO_BLOCKED（10012），XSS 被正确过滤。
","7","TC_Transfer_052: 合规-附言XSS脚本注入防护 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证本行同名账户之间转账的免手续费逻辑。 付款方与收款方使用同一张本行卡号（6222021234567890）， 即本人本行卡之间转账（100元小额）。预期转账成功（000000）， 且手续费 feeAmount 必须为 0.00 元。 校验点：响应中 feeAmount 字段精确为 0。
","8","TC_TRANSFER_POS_SELF_004: 正向转账-本行本人同名卡互转免手续费 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"网上银行（EB）单日累计限额 200 万元。 当日使用张三账户已累计转账 1,950,000 元（需预先构造）， 再发起 100,000 元转账，当日累计将达 2,050,000 元， 超过单日限额，触发 DAILY_LIMIT_EXCEEDED 错误（10002）。 注：本用例需要预先构造当日累计额度，或使用 daily_limit 较低的测试账户。
","9","TC_Transfer_020: 渠道限额-网上银行单日累计限额超限 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易附言 remitInfo 不得包含 SQL 关键字（防止日志注入）。 设置 remitInfo=""test'; DROP TABLE account; --""， 验证返回 REMIT_INFO_BLOCKED（10012），SQL 注入被正确过滤。
","8","TC_Transfer_053: 合规-附言SQL注入关键字防护 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
